,sym_1,sym_2,p_value,t_value,c_value,hedge_ratio,zero_crossings
821,ENSUSDT,LRCUSDT,0.0022,-4.3375,-3.367,19.3117,53
2105,SXPUSDT,XEMUSDT,0.0084,-3.9502,-3.367,13.1695,47
2030,RSRUSDT,UMAUSDT,0.0031,-4.25,-3.367,0.0014,46
279,ANKRUSDT,XEMUSDT,0.0101,-3.8949,-3.367,0.7807,45
733,DGBUSDT,BALUSDT,0.0229,-3.6236,-3.367,0.0018,44
617,CEEKUSDT,SUIUSDT,0.0373,-3.4479,-3.367,0.2172,43
221,AKROUSDT,ONTUSDT,0.0086,-3.945,-3.367,0.0178,43
960,HIGHUSDT,CEEKUSDT,0.0264,-3.573,-3.367,12.9044,43
167,ADAUSDT,HIGHUSDT,0.0374,-3.4468,-3.367,0.6793,43
670,CROUSDT,XEMUSDT,0.0,-6.1468,-3.367,4.2006,43
564,BLZUSDT,TRXUSDT,0.0008,-4.61,-3.367,0.9795,43
800,ENJUSDT,FETUSDT,0.0173,-3.7192,-3.367,6.9751,42
1975,PHBUSDT,IDEXUSDT,0.0091,-3.9278,-3.367,12.0781,41
1932,OCEANUSDT,BANDUSDT,0.0445,-3.3812,-3.367,0.1254,41
1028,IOSTUSDT,ADAUSDT,0.0368,-3.4532,-3.367,0.0257,41
1549,LPTUSDT,BATUSDT,0.0318,-3.5073,-3.367,32.9123,41
1967,PEOPLEUSDT,COMPUSDT,0.0303,-3.5246,-3.367,0.0002,40
1821,MATICUSDT,AKROUSDT,0.0085,-3.9485,-3.367,433.0806,40
701,CTSIUSDT,ZRXUSDT,0.0016,-4.4353,-3.367,0.4879,40
665,COTIUSDT,UNIUSDT,0.0204,-3.6643,-3.367,0.0223,39
1251,KAVAUSDT,THETAUSDT,0.0218,-3.64,-3.367,0.5775,38
213,AKROUSDT,CRVUSDT,0.0014,-4.4726,-3.367,0.0011,38
818,ENSUSDT,KDAUSDT,0.0001,-5.0675,-3.367,8.778,37
1999,RENUSDT,SFPUSDT,0.0239,-3.6088,-3.367,0.4997,37
229,AKROUSDT,XLMUSDT,0.0009,-4.5738,-3.367,0.0132,37
746,DOGEUSDT,ONTUSDT,0.034,-3.4822,-3.367,0.3404,37
